DTXSID,GUID
DTXSID0023329,cbea2c1f-0f2f-47b0-a2dd-df28f9dded0c
DTXSID0023373,c64775d5-a91c-4219-8649-a7606c50ccc2
DTXSID0023373,9f51a24a-d4c0-4dad-b2e7-4f09cef22861
DTXSID0023406,ec1c6fe4-b2b5-491a-9d7f-542b85e2b078
DTXSID0023406,7a3e9905-aeef-4b09-bc78-38b31a9af2a3
DTXSID0023406,938eff47-9080-4fb5-acb2-14c6ba61b9c4
DTXSID0023406,55cc0b0d-4955-4582-be54-ed03eef42592
DTXSID0023454,214c4d29-3a7f-4889-9f29-a50e133d9e6f
DTXSID0023454,e9f1c34d-9ad0-4d70-ab0b-5d4a7baaa17c
DTXSID0023454,dce4708a-1f20-4b2e-ae40-d5cc1bb9967b
DTXSID0023458,e4c80a29-1d5f-4dfc-98b0-b4d7b5e16e19
DTXSID0023533,28b299bc-ebbe-4a41-8781-e11f2cb38568
DTXSID0023535,5f188cea-5b28-4a84-b2a8-8b74992c6631
DTXSID0023581,be98e6d2-0bf2-41da-830e-055ceb76dbed
DTXSID0023581,53d58c58-7e4e-482b-a1f5-351032068b53
DTXSID0023589,a5f3aa63-a5cb-4d9f-a579-49170806989a
DTXSID0023589,f02dd043-d01a-4ef6-a829-4aabafaf2b68
DTXSID0023589,98082cf3-03a7-49aa-ac14-af79c4a0c1cd
DTXSID0023589,95a37efe-1cc7-42b6-899d-5f9ec634effd
DTXSID0023612,6d618061-9e63-456a-9e2d-d66fc3ab728a
DTXSID0023662,2234c048-1c0e-44d7-8307-fd763fe6fd18
DTXSID0023664,89d78ab3-94be-4e35-a0e3-8dd6f7003585
DTXSID0023664,fa29fad9-5cae-4234-bb10-d4065a55805d
DTXSID0023664,4114fa10-55b3-41ac-8349-20a7fcfa3a3b
DTXSID0023747,68dab234-f248-40b6-a38a-124309b521fc
DTXSID0023901,9c017e5d-5c41-4fb5-a94a-29d3f73c3dce
DTXSID0023901,53ee5000-cdc3-4904-9792-09be4343507f
DTXSID0023901,e83f3278-2c70-4901-9e3f-4f152f5c5cbe
DTXSID0023901,9090d244-c1d4-4db0-909b-f39cacb1691c
DTXSID0024000,1b1ab9d8-ea62-4d1c-9f4f-db4cebf1aa33
DTXSID0024266,ff0a837a-3e0f-4488-9c88-c320a7b0a957
DTXSID0024266,ec6b2ea2-f856-40c3-8fda-05f0e45d7a7c
DTXSID0024505,ebceb340-71b2-4aba-8800-f129579704ad
DTXSID0024555,59cc48be-94c4-4878-852b-c3a8066b2e6b
DTXSID0024977,dcb44323-f79f-4d15-af9c-d08e2c7ce869
DTXSID0025363,56252006-6ff7-4af0-9b9a-304369b290f1
DTXSID0025440,934055bf-3a69-4460-9811-a6c0afeb8e24
DTXSID0025527,1662cd63-4b10-48e0-a10d-8698368f215b
DTXSID0025733,61db8e69-be10-4ce5-a80d-f4f99370f048
DTXSID0025814,d81daf95-84d2-4413-ae70-81b480f74263
DTXSID0025816,5487ce1e-af19-422a-99b8-a714e61a441c
DTXSID0025864,232d7ed8-b219-4894-bdbd-d047075029fb
DTXSID0026208,77e398e6-83f5-4f77-b37b-4f8d1e5a83ed
DTXSID0026701,a5276546-768e-4101-bac2-496e62436476
DTXSID0026961,1c16dc39-049e-4af0-8eb4-d20e3d0d4b35
DTXSID00274188,f1c51dda-2828-4370-9672-ebc7606e8502
